SYMBOL,INDUSTRY,3D,5D,10D,15D,20D,50D,100D,150D
HPL,Industrial Products,2.13,-16.09,-13.16,-10.4,-14.62,-12.46,13.28,-6.82
HSCL,Carbon Black,1.54,0.97,4.7,-0.13,-7.1,-1.83,4.42,-17.4
HUBTOWN,"Residential, Commercial Projects",1.62,-1.2,1.26,1.06,15.28,79.79,78.44,
HUDCO,Financial Institution,0.91,1.22,0.49,-2.11,-5.49,-10.93,1.79,-6.29
HUHTAMAKI,Packaging,2.2,0.44,1.14,1.45,-2.74,5.1,12.1,-16.96
HYUNDAI,Passenger Cars & Utility Vehicles,1.04,8.99,12.98,17.35,15.66,26.41,39.21,37.14
ICEMAKE,Industrial Products,0.21,0.71,-3.53,-5.71,-8.89,-12.6,-18.94,-2.51
ICICIB22,Unknown,-0.38,-1.03,-0.07,-0.71,-1.97,-4.03,1.64,1.45
ICICIBANK,Private Sector Bank,0.79,1.77,0.17,-2.46,-2.86,1.05,6.47,14.54
ICICIGI,General Insurance,1.06,2.84,4.41,2.43,1.56,1.29,10.2,4.18
ICICIPRULI,Life Insurance,-1.13,1.27,1.58,1.62,0.05,-2.02,5.42,-2.73
ICIL,Other Textile Products,0.66,0.99,1.4,-11.1,-15.5,-10.56,-9.74,-24.2
ICRA,Ratings,3.04,2.35,0.63,-3.79,-6.88,-4.8,13.39,2.64
IDBI,Private Sector Bank,10.6,11.09,8.92,3.62,0.21,-2.46,20.59,33.18
IDEA,Telecom - Cellular & Fixed line services,1.39,2.99,-3.53,-6.43,-12.43,-5.62,-10.76,-17.3
IDEAFORGE,Aerospace & Defense,2.34,0.63,6.46,0.59,-7.71,-20.22,18.19,-23.17
IDFCFIRSTB,Private Sector Bank,0.26,0.26,1.95,1.21,-3.6,-1.71,21.06,12.36
IDFNIFTYET,ETF,0.25,1.68,1.63,0.23,-0.47,-0.15,6.77,6.85
IEX,Exchange and Data Platform,2.56,2.44,9.41,6.3,-23.03,-25.33,-18.78,-16.42
IFBIND,Household Appliances,-4.54,14.34,13.41,6.84,8.28,-11.43,12.44,-25.83
IFCI,Financial Institution,2.45,2.6,-1.49,-6.38,-11.41,-15.22,19.15,-4.8
IFGLEXPOR,Electrodes & Refractories,12.2,11.29,9.29,8.61,-0.9,-49.42,-30.98,-40.59
IGARASHI,Auto Components & Equipments,-2.02,0.4,-20.4,-15.65,-15.47,-1.07,-6.0,-28.58
IGCL,Pesticides & Agrochemicals,0.05,2.71,6.07,-2.38,-7.15,,,
IGIL,Diversified Commercial Services,4.39,5.21,-3.26,-15.1,-12.55,-11.65,-6.67,-41.27
IGL,LPG/CNG/PNG/LNG Supplier,0.84,0.2,1.3,1.75,-1.74,-1.9,1.6,-50.72
IGPL,Commodity Chemicals,5.72,6.15,-2.87,-9.07,-7.47,-7.43,1.08,-13.27
IIFL,Non Banking Financial Company (NBFC),2.39,3.14,1.66,-8.75,-13.88,-4.97,36.42,7.09
IIFLCAPS,Stockbroking & Allied,-1.18,1.22,7.31,-0.91,0.8,-5.21,36.17,5.84
IKIO,Consumer Electronics,19.17,19.62,20.2,15.03,9.37,2.21,-13.71,-2.95
IKS,IT Enabled Services,0.32,1.91,-0.91,0.5,-1.12,-7.84,6.68,-18.8
IMAGICAA,Amusement Parks/ Other Recreation,0.33,-0.75,-9.83,-9.33,-13.58,-20.55,-12.26,-18.15
IMFA,Ferro & Silica Manganese,2.56,6.83,19.81,15.43,11.97,17.64,31.62,-5.31
IMPAL,Trading - Auto components,0.3,0.85,2.26,-0.5,-3.44,-3.52,2.66,-9.49
INDBANK,Stockbroking & Allied,2.24,0.7,0.12,-0.81,-4.03,-10.38,3.72,-23.88
INDGN,"Healthcare Research, Analytics & Technology",-2.58,0.11,0.39,4.83,2.49,-5.59,3.77,-8.93
INDHOTEL,Hotels & Resorts,2.6,3.36,6.57,6.81,5.47,3.9,-5.52,-3.31
INDIACEM,Cement & Cement Products,5.39,5.98,6.15,5.26,5.61,15.09,38.29,3.78
INDIAGLYCO,Breweries & Distilleries,-4.03,1.46,-51.76,-50.35,-51.62,-53.14,-21.17,-32.04
INDIAMART,Internet & Catalogue Retail,3.38,4.19,5.59,2.89,2.66,6.48,24.41,14.54
INDIANB,Public Sector Bank,-0.81,0.02,5.23,9.15,7.44,7.34,22.42,34.08
INDIANCARD,Other Textile Products,-0.37,-6.67,-6.46,-8.18,-13.09,-20.73,0.11,
INDIANHUME,Industrial Products,3.21,0.34,-5.33,-8.77,-11.9,-15.85,-0.35,3.31
INDIASHLTR,Housing Finance Company,0.82,-1.59,1.04,-0.16,-4.32,4.0,14.55,33.84
INDIGO,Airline,0.04,2.17,3.49,6.25,3.43,8.31,22.71,43.15
INDIGOPNTS,Paints,-0.09,3.63,-6.49,-5.3,-5.11,0.92,13.77,-14.15
INDIQUBE,Diversified Commercial Services,3.19,1.37,9.59,2.03,,,,
INDNIPPON,Auto Components & Equipments,-4.7,-2.81,-2.94,1.84,-1.95,9.72,23.02,16.9
INDOAMIN,Specialty Chemicals,5.75,6.53,13.93,6.04,-0.64,0.53,26.09,-6.78
INDOCO,Pharmaceuticals,-5.1,-5.19,-4.49,-14.19,-10.51,-0.8,10.73,-16.67
INDOFARM,Tractors,19.42,17.3,26.82,14.15,12.46,23.42,,
INDOSTAR,Non Banking Financial Company (NBFC),1.94,1.23,-1.07,-4.77,-9.21,-19.96,-9.51,4.75
INDOTECH,Heavy Electrical Equipment,-0.39,3.82,18.12,12.11,1.11,-9.97,-22.76,
INDOUS,Other Agricultural Products,-4.01,-9.91,-15.91,-11.44,-15.58,-10.25,-41.13,
INDOWIND,Power Generation,1.98,0.73,4.03,-1.31,-4.7,-19.63,0.06,-27.57
INDRAMEDCO,Hospital,1.92,0.37,5.57,-1.61,-0.53,11.99,12.78,-10.62
INDTERRAIN,Garments & Apparels,0.03,0.52,4.83,-5.46,-12.46,-7.43,9.2,-20.04
INDUSINDBK,Private Sector Bank,-2.69,-0.78,-4.47,-4.3,-9.83,-8.23,14.64,-21.76
INDUSTOWER,Telecom - Infrastructure,3.1,3.19,2.08,-9.31,-14.11,-10.27,-0.29,5.21
INFIBEAM,Financial Technology (Fintech),7.49,7.42,5.58,1.45,-2.31,-30.94,-11.61,-34.0
INFOBEAN,Computers - Software & Consulting,0.17,0.4,14.92,5.06,19.33,63.91,105.67,47.83
INFRABEES,ETF,1.17,1.84,1.96,0.44,-0.36,0.52,8.05,9.62
INFRAIETF,ETF,1.54,1.71,1.88,0.38,-0.19,0.74,8.5,10.21
INFY,Computers - Software & Consulting,4.22,4.89,4.16,-1.49,-4.96,-8.26,-6.05,-21.95
INGERRAND,"Compressors, Pumps & Diesel Engines",4.35,4.13,1.38,-4.12,-7.62,-3.0,1.96,-6.0
INNOVACAP,Pharmaceuticals,-0.51,-0.13,-2.83,-1.81,0.4,3.33,-3.97,-19.59
INOXINDIA,Other Industrial Products,5.21,6.93,0.17,-2.77,-6.38,-5.2,8.4,4.96
INOXWIND,Heavy Electrical Equipment,1.91,3.41,-3.02,-8.63,-13.92,-22.85,-17.46,-12.42
INSECTICID,Pesticides & Agrochemicals,4.81,-4.8,-16.66,-19.5,-12.91,-0.39,35.32,31.85
INTELLECT,Computers - Software & Consulting,2.31,4.11,1.65,-9.21,-19.4,-20.94,32.46,6.04
INTENTECH,IT Enabled Services,5.24,-0.26,2.54,1.47,-4.15,-16.2,-16.71,-29.74
INTERNET,Unknown,2.58,3.74,8.0,5.22,3.59,,,
INTLCONV,Industrial Products,0.87,6.04,4.65,1.65,-4.12,7.01,25.22,6.42
INVENTURE,Stockbroking & Allied,1.34,0.0,-2.58,-3.82,-6.79,-6.79,-1.31,-25.98
IOB,Public Sector Bank,4.8,6.37,5.55,1.24,-1.71,-2.93,-13.6,-23.07
IOC,Refineries & Marketing,0.81,-0.7,-0.58,-5.1,-7.16,-2.56,5.81,6.99
IOLCP,Pharmaceuticals,4.41,5.38,3.31,-2.03,-0.41,5.86,51.62,-76.78
IONEXCHANG,Water Supply & Management,5.57,3.85,0.03,-5.27,-7.29,-17.87,-10.86,-29.93
IPCALAB,Pharmaceuticals,-1.78,-0.4,-2.03,-11.14,-6.9,-2.18,-6.46,-18.22
IPL,Pesticides & Agrochemicals,9.99,6.9,4.93,0.38,3.79,8.56,50.53,33.44
IRB,Civil Construction,-0.78,-0.4,-0.25,-3.11,-8.21,-14.47,-5.27,-19.64
IRCON,Civil Construction,1.83,1.53,-0.93,-5.22,-9.29,-21.15,1.97,-16.73
IRCTC,"Tour, Travel Related Services",0.53,-0.23,-0.54,-1.42,-4.76,-7.32,-0.17,-4.99
IREDA,Financial Institution,-0.07,2.11,2.02,-1.96,-6.14,-19.23,-13.39,-31.84
IRFC,Financial Institution,0.54,-0.17,-1.63,-4.54,-6.98,-13.76,-5.54,-10.69
IRMENERGY,LPG/CNG/PNG/LNG Supplier,3.01,2.95,4.57,-5.35,-6.13,-9.2,-2.55,-18.19
ISFT,E-Retail/ E-Commerce,1.29,0.95,2.95,-0.3,-3.17,-9.99,-4.87,-25.19
ISGEC,Civil Construction,2.24,-1.64,-2.6,-7.78,-9.19,-18.42,-4.7,-24.7
IT,Unknown,3.05,3.02,3.85,0.7,-2.92,-7.61,-2.85,-15.76
ITBEES,ETF,3.12,2.93,3.72,0.62,-3.25,-7.67,-3.08,-15.87
ITC,Diversified FMCG,-0.18,-2.06,-1.57,-0.5,-2.27,-4.83,-1.3,-9.9
ITCHOTELS,Hotels & Resorts,7.25,9.16,7.67,6.5,2.6,15.22,27.81,
ITDC,Hotels & Resorts,3.09,3.07,-1.1,-6.26,-7.76,-10.52,-9.31,-16.42
ITDCEM,Civil Construction,-2.83,-3.74,3.1,-3.16,-5.44,-4.36,37.48,44.9
ITETF,ETF,3.08,2.97,3.72,0.65,-3.18,-7.62,-3.48,-15.83
ITETFADD,ETF,2.89,2.8,3.58,0.49,-3.44,-7.62,-3.26,-16.11
ITI,Telecom -  Equipment & Accessories,1.17,-1.65,-0.65,1.24,-5.16,-9.17,-13.43,
ITIETF,ETF,2.78,2.59,3.41,0.31,-3.45,-7.85,-3.19,-16.15
IVC,Asset Management Company,-1.41,-3.78,-0.94,-4.98,-6.35,-12.23,-8.7,-19.08
IVP,Specialty Chemicals,0.25,1.45,-0.58,-9.6,-8.75,-8.34,11.2,-16.82
IVZINGOLD,ETF,-0.16,-0.75,-1.17,0.09,-1.27,2.24,13.24,27.05
IXIGO,"Tour, Travel Related Services",1.69,8.67,23.61,22.19,26.22,49.14,99.77,77.37
IZMO,IT Enabled Services,20.81,19.47,36.01,30.17,16.83,-4.57,,
J&KBANK,Unknown,-1.71,0.43,2.69,-0.97,-6.93,-5.46,5.99,9.05
JAGRAN,Print Media,0.86,0.55,0.69,-1.55,-2.06,0.68,2.58,-10.84
JAGSNPHARM,Pharmaceuticals,-3.76,-3.78,-10.29,-14.51,-10.46,1.44,9.03,4.39
JAIBALAJI,Iron & Steel,3.39,1.47,-2.36,-8.27,-11.04,-0.75,-25.68,-87.52
JAICORPLTD,Plastic Products - Industrial,11.34,24.04,22.52,23.67,23.65,8.74,33.83,-30.93
JAIPURKURT,Garments & Apparels,-2.1,-3.22,-3.27,-7.89,-5.9,-11.25,-14.16,10.06
JAMNAAUTO,Auto Components & Equipments,9.24,12.8,13.79,8.82,5.47,10.79,28.64,4.19
JASH,Industrial Products,2.61,2.02,-2.58,-8.0,-12.59,-5.24,-8.47,-8.89
JAYAGROGN,Specialty Chemicals,1.11,0.49,3.6,-0.69,-6.47,-8.88,0.87,-11.28
JAYNECOIND,Iron & Steel Products,8.67,7.15,15.67,23.04,45.49,56.6,83.37,55.05
JAYSREETEA,Tea & Coffee,1.45,-0.47,-8.76,-5.85,-10.86,-13.44,3.95,-12.45
JBCHEPHARM,Pharmaceuticals,0.71,0.72,4.12,-3.07,2.3,0.6,2.87,-7.61
JBMA,Auto Components & Equipments,1.09,4.39,2.38,-3.18,-1.85,-12.5,-4.34,-57.6
JCHAC,Household Appliances,-0.23,1.73,-0.4,-0.77,0.17,-0.53,-4.55,-4.9
JETFREIGHT,Logistics Solution Provider,-0.22,-0.22,2.37,-1.08,-0.43,-7.44,-25.49,
JGCHEM,Commodity Chemicals,-1.8,2.87,5.4,-0.36,1.53,30.7,46.56,29.1
JHS,Personal Care,-4.52,-7.96,-4.52,-14.62,-14.22,-28.09,-54.55,
JINDALPOLY,Packaging,0.63,-1.01,-4.61,-10.15,-12.7,-17.82,-27.05,-43.6
JINDALSAW,Iron & Steel Products,1.85,0.96,-0.24,-3.84,-9.62,-18.22,-26.97,-20.69
JINDALSTEL,Iron & Steel,1.74,1.39,2.46,2.78,3.35,5.77,9.47,8.44
JINDRILL,Offshore Support Solution Drilling,3.12,5.04,5.45,0.14,-0.1,-2.45,-31.62,-16.32
JINDWORLD,Other Textile Products,1.9,0.05,-1.72,-10.9,-11.57,-40.02,-37.88,-91.62
JIOFIN,Investment Company,-1.67,-2.04,-0.83,1.11,2.99,7.0,39.18,11.96
JISLDVREQS,Plastic Products - Industrial,9.0,3.1,15.36,6.04,-1.01,-9.34,2.19,-15.82
JISLJALEQS,Plastic Products - Industrial,6.5,-3.02,6.76,-0.43,-3.67,-19.89,-15.46,-31.38
JITFINFRA,Water Supply & Management,-2.85,-13.52,-11.13,-18.38,-18.74,-47.89,-59.93,
JKCEMENT,Cement & Cement Products,-2.35,2.8,2.5,7.88,7.85,19.47,50.48,50.54
JKIL,Civil Construction,1.25,0.97,-5.79,-5.42,-8.61,-10.26,-3.76,-10.02
JKLAKSHMI,Cement & Cement Products,-0.63,3.42,2.27,-2.52,-5.67,11.45,21.3,17.03
JKPAPER,Paper & Paper Products,-1.13,-1.35,0.38,-0.25,-8.52,-8.08,6.52,-13.01
JKTYRE,Tyres & Rubber Products,1.2,4.99,2.3,-3.57,-6.82,-13.52,10.93,-11.1
JLHL,Hospital,-1.84,-3.75,0.63,-3.09,-4.86,-9.55,-16.42,-9.98
JMA,Trading - Auto components,4.32,3.57,0.52,-1.89,-0.95,-4.94,11.48,-4.64
JMFINANCIL,Holding Company,1.84,1.42,22.94,20.84,5.65,27.91,93.33,54.05
JNKINDIA,Industrial Products,-1.42,0.31,-4.8,-8.09,-10.31,-20.18,-23.69,-50.54
JOCIL,Commodity Chemicals,2.11,0.89,-2.24,2.91,-1.22,-0.88,10.94,-19.43
JPOLYINVST,Investment Company,-1.85,-0.72,-3.75,-8.69,-10.28,-16.17,6.14,-9.16
JPPOWER,Power Generation,4.49,0.85,-0.05,-11.1,-11.34,4.67,27.22,13.04
JSFB,Other Bank,2.3,4.9,2.29,4.68,6.72,-7.09,10.75,20.52
JSL,Iron & Steel,3.6,7.28,5.49,13.68,14.58,7.45,30.94,22.49
JSLL,Unknown,1.55,27.95,,,,,,
JSWCEMENT,Unknown,2.64,,,,,,,
JSWENERGY,Power Generation,-2.31,-2.56,-2.39,-0.99,-2.35,-2.65,-9.38,-6.52
JSWHL,Investment Company,2.62,3.31,-3.54,-18.91,-25.59,3.23,,
JSWINFRA,Port & Port services,-0.11,2.99,2.78,0.88,-4.03,-0.74,-1.34,-1.69
JSWSTEEL,Iron & Steel,-0.74,1.72,1.82,3.27,3.68,6.42,0.98,20.3
JTEKTINDIA,Auto Components & Equipments,5.11,4.61,3.06,-0.69,-10.5,-9.29,2.24,-20.37
JTLIND,Iron & Steel Products,8.18,10.88,13.82,2.63,-5.65,-4.18,-9.63,-30.46
JUBLCPL,Specialty Chemicals,-1.89,9.23,26.31,18.03,32.32,58.26,102.4,
JUBLFOOD,Restaurants,-1.24,-1.94,-0.43,-4.37,-4.8,-8.5,-4.67,-15.86
JUBLINGREA,Specialty Chemicals,0.83,2.16,-0.52,-12.01,-11.05,4.86,1.39,-5.76
JUBLPHARMA,Pharmaceuticals,1.24,-0.99,-3.41,-13.71,-10.84,-6.94,19.28,6.37
JUNIORBEES,ETF,0.73,1.92,2.62,0.88,-0.38,-0.68,7.22,4.1
JUNIPER,Hotels & Resorts,6.7,7.36,8.69,-1.47,-7.04,-7.17,10.27,-10.16
JUSTDIAL,Internet & Catalogue Retail,1.54,2.13,1.39,-1.03,-2.72,-8.68,-4.31,-21.75
JWL,Railway Wagons,5.52,8.37,1.7,-1.49,-5.39,-15.87,-5.97,-26.71
JYOTHYLAB,Household Products,1.78,4.42,5.44,4.09,1.13,-1.26,0.42,-15.74
JYOTICNC,Industrial Products,3.88,3.71,-2.14,-8.08,-6.8,-18.16,-12.87,-26.73
JYOTISTRUC,Heavy Electrical Equipment,-0.44,-1.24,-2.15,-6.08,-10.42,-20.73,-11.17,-37.61
KABRAEXTRU,Industrial Products,2.51,-0.74,-1.52,-11.94,-15.36,-26.34,-51.23,
KAJARIACER,Ceramics,-0.48,0.13,7.26,9.2,5.1,20.77,43.39,17.96
KAKATCEM,Cement & Cement Products,-0.27,1.58,1.72,-2.38,-9.88,0.22,10.18,-14.51
KALAMANDIR,Speciality Retail,12.54,10.95,7.15,4.14,5.08,31.11,29.25,10.75
KALPATARU,"Residential, Commercial Projects",0.61,-3.31,8.74,-2.32,-5.86,,,
KALYANIFRG,Castings & Forgings,0.75,-3.6,0.8,-3.3,-4.48,3.42,,
KALYANKJIL,"Gems, Jewellery And Watches",-1.77,-0.9,-13.42,-15.77,-16.48,-4.52,4.32,-22.87
KAMATHOTEL,Hotels & Resorts,3.91,12.82,11.59,23.47,22.55,25.71,-10.45,33.25
KAMDHENU,Iron & Steel Products,1.09,0.3,0.37,1.23,-0.37,-12.72,-8.6,-41.88
KAMOPAINTS,Paints,7.26,12.33,8.74,,,,,
KANANIIND,"Gems, Jewellery And Watches",-1.0,-0.5,-1.49,-1.0,-4.33,-8.72,-21.65,-29.43
KANORICHEM,Industrial Products,-1.28,0.63,-2.15,-6.18,-5.58,-12.95,1.9,-25.18
KANSAINER,Paints,0.54,0.7,1.38,-3.04,-3.61,-5.05,-2.26,-7.38
KAPSTON,Diversified Commercial Services,0.06,-0.19,-0.83,3.63,1.94,0.71,12.37,-5.95
KARURVYSYA,Private Sector Bank,-2.18,0.68,-1.38,-0.25,-4.83,7.79,23.48,22.2
KAUSHALYA,Hotels & Resorts,26.75,28.43,22.2,20.24,20.62,11.77,14.19,-1.98
KAYNES,Industrial Products,-2.13,1.41,1.89,9.0,6.92,10.21,22.02,-8.71
KCP,Cement & Cement Products,0.02,2.8,2.92,0.75,-4.16,-2.19,2.9,-6.74
KCPSUGIND,Sugar,5.39,3.55,1.24,-2.42,-6.2,-11.51,-11.12,-22.82
KDDL,"Gems, Jewellery And Watches",2.33,1.6,-3.45,-5.42,-8.84,1.14,-20.63,-8.98
KEC,Civil Construction,-1.64,3.18,-1.15,-6.3,-4.65,-10.57,2.02,-19.21
KECL,Other Electrical Equipment,5.23,5.32,1.91,-5.25,-9.05,-14.46,-10.1,-31.52
KEI,Cables - Electricals,1.33,3.93,3.76,1.33,-0.43,4.21,37.14,-5.94
KELLTONTEC,IT Enabled Services,-0.5,3.39,-2.01,-11.0,-81.74,-79.62,-77.84,-83.84
KEYFINSERV,Stockbroking & Allied,-0.95,0.04,-1.8,-35.65,-24.38,23.09,,
KFINTECH,"Depositories, Clearing Houses and Other Intermediaries",1.09,1.18,1.51,1.67,-10.62,-7.34,-1.0,-22.34
KHADIM,Footwear,-2.11,-3.47,-9.03,-14.59,-17.53,-19.34,-14.29,-34.72
KHANDSE,Stockbroking & Allied,-0.04,0.77,2.98,0.73,-7.4,8.08,5.33,-12.24
KICL,Investment Company,0.28,0.25,1.83,-0.66,-3.68,-10.06,6.9,-11.65
KIMS,Hospital,-2.05,2.04,-1.03,-0.57,-2.32,11.14,16.18,14.13
KINGFA,Plastic Products - Industrial,7.23,23.28,34.37,26.55,21.09,42.7,55.71,22.34
KIOCL,Sponge Iron,32.79,33.61,21.3,35.71,23.82,41.64,72.04,11.03
KIRIINDUS,Dyes And Pigments,-0.03,-0.88,-8.53,-6.18,-7.55,-11.39,-15.79,-12.91
KIRLOSBROS,"Compressors, Pumps & Diesel Engines",5.31,5.01,6.19,3.38,-3.98,8.76,10.76,-6.81
KIRLOSENG,"Compressors, Pumps & Diesel Engines",0.29,4.62,2.97,3.13,3.37,4.94,26.13,-2.05
KIRLOSIND,Other Industrial Products,0.2,-1.36,-7.16,-8.45,-13.21,0.09,11.64,-10.68
KIRLPNU,"Compressors, Pumps & Diesel Engines",0.08,-2.31,-6.34,1.51,-2.79,-4.84,-6.9,-14.4
KITEX,Garments & Apparels,15.76,16.12,9.75,-27.08,-25.81,14.95,,
KKCL,Garments & Apparels,2.19,1.6,-7.43,-7.56,-8.3,-1.35,6.9,-7.91
KMEW,Dredging,4.08,10.69,11.56,10.3,5.83,7.52,15.83,-13.43
KMSUGAR,Sugar,0.24,0.91,9.39,5.61,3.34,-5.64,-2.84,-7.13
KNRCON,Civil Construction,2.09,0.66,-3.19,-4.5,-9.84,-8.31,-15.91,-39.7
KOHINOOR,Other Agricultural Products,0.6,-0.31,4.51,-0.65,-0.91,-6.67,2.91,-14.95
KOKUYOCMLN,Stationary,1.9,3.2,1.2,-1.0,-1.28,-11.45,6.11,-9.23
KOLTEPATIL,"Residential, Commercial Projects",0.36,0.48,0.76,-2.58,-8.32,-10.85,21.72,22.63
KOPRAN,Pharmaceuticals,2.36,1.87,1.51,-2.9,-8.93,-19.54,-15.43,
KOTAKBANK,Private Sector Bank,0.82,1.51,0.77,2.96,-7.03,-5.94,-7.28,12.71
KOTARISUG,Sugar,7.97,4.5,-2.99,-10.65,-17.19,-23.49,-17.15,-29.67
KOTHARIPET,Petrochemicals,2.74,5.78,5.95,4.28,-1.32,-9.32,-1.71,-7.62
KOTHARIPRO,Trading & Distributors,2.05,2.62,6.54,0.42,-0.78,-6.92,-58.89,
KPEL,Power Generation,1.61,-0.92,-7.25,-14.76,-19.0,-22.22,10.12,-12.37
KPIGREEN,Power Generation,0.41,0.34,-2.79,0.48,-2.35,-2.3,17.88,7.06
KPIL,Civil Construction,1.72,5.01,16.08,15.24,8.13,9.86,32.11,3.87
KPITTECH,Computers - Software & Consulting,0.46,-0.16,0.42,-4.29,-4.71,-12.15,-12.31,-15.11
KPRMILL,Other Textile Products,2.32,5.39,-1.73,-13.37,-17.67,-9.35,8.66,5.42
KRBL,Other Agricultural Products,0.45,-1.93,28.08,21.55,16.65,25.72,64.77,65.63
KRISHANA,Fertilizers,5.47,10.15,10.28,7.43,20.38,30.51,148.52,208.98
KRITIKA,Iron & Steel Products,-0.45,0.57,-0.34,-7.49,-7.59,-15.97,,
KRITINUT,Edible Oil,0.67,1.49,-2.23,-6.52,-7.82,-15.02,-4.33,-16.1
KRN,Other Industrial Products,-0.13,-0.84,3.53,1.41,0.48,13.56,-6.19,19.28
KRONOX,Specialty Chemicals,4.5,4.88,-1.05,-9.42,-7.04,2.15,9.42,-14.18
KROSS,Auto Components & Equipments,6.23,6.39,1.38,-3.35,-9.23,-11.53,-7.1,-16.09
KRSNAA,Healthcare Service Provider,-2.0,1.43,-3.26,-6.02,-5.44,17.88,-0.86,-9.88
KSB,"Compressors, Pumps & Diesel Engines",-2.6,0.06,-4.27,-7.03,-10.03,-6.31,10.14,5.64
KSCL,Other Agricultural Products,6.78,1.57,5.15,1.92,2.81,-17.83,-15.22,24.21
KSHITIJPOL,Printing Inks,2.27,0.0,0.0,-7.08,-2.17,-6.53,-30.77,
KSL,Iron & Steel Products,-1.05,-1.14,-4.3,-6.0,-5.92,7.58,8.41,-15.7
KSOLVES,Computers - Software & Consulting,6.28,5.01,1.35,-1.88,-4.96,-9.37,-32.91,-66.61
KTKBANK,Private Sector Bank,0.47,0.69,-1.86,-5.73,-9.36,-18.22,-6.69,-14.45
KUANTUM,Paper & Paper Products,2.62,3.34,-5.78,-8.71,-10.76,0.13,4.8,-8.23
LAGNAM,Other Textile Products,-3.16,-6.45,-11.27,-14.45,-17.28,-23.01,-15.25,-30.95
LALPATHLAB,Healthcare Service Provider,-1.32,2.67,5.44,9.17,12.14,13.34,35.85,12.62
LAMBODHARA,Other Textile Products,9.26,5.68,0.95,-1.42,-6.12,-10.1,-5.15,
LANCORHOL,"Residential, Commercial Projects",13.47,7.86,8.26,-2.26,5.56,15.32,-7.71,-31.31
LANDMARK,Auto Dealer,7.01,8.79,12.97,17.32,11.87,10.44,40.49,-5.94
LAOPALA,Glass - Consumer,4.13,4.77,-8.05,-7.82,-6.7,-6.14,10.4,-20.3
LATENTVIEW,Computers - Software & Consulting,6.82,6.71,5.31,3.82,-4.96,2.7,13.2,-9.4
LATTEYS,"Compressors, Pumps & Diesel Engines",11.65,10.9,6.48,0.85,-2.82,,,
LAURUSLABS,Pharmaceuticals,2.8,3.1,6.42,0.96,8.19,31.55,42.84,45.16
LAXMICOT,Other Textile Products,-1.26,3.64,-0.19,-5.78,-6.56,-5.71,-4.07,-13.52
LAXMIDENTL,Medical Equipment & Supplies,0.13,-8.02,-14.87,-18.99,-26.23,-16.86,-20.08,
LAXMIINDIA,Non Banking Financial Company (NBFC),3.43,-3.9,16.21,,,,,
LCCINFOTEC,Education,-2.29,-0.84,,,,,,
LEMONTREE,Hotels & Resorts,8.73,12.87,15.15,11.3,6.07,18.52,19.78,16.15
LEXUS,"Furniture, Home Furnishing",-2.67,-2.29,-3.65,-13.82,-11.89,-5.65,-21.93,-28.52
LFIC,Investment Company,-2.94,1.17,1.42,1.13,-2.08,-8.95,17.55,-16.18
LGBBROSLTD,Auto Components & Equipments,6.97,4.43,5.64,1.96,2.28,1.83,5.72,2.74
LGHL,"Gems, Jewellery And Watches",0.62,0.79,-3.71,-3.31,-14.88,6.95,18.98,
LIBAS,Garments & Apparels,1.12,-1.41,5.26,-4.11,-7.42,-9.86,4.47,-21.87
LICHSGFIN,Housing Finance Company,1.77,0.61,0.3,-2.07,-6.75,-6.83,-0.08,0.77
LICI,Life Insurance,0.61,0.91,0.32,-0.71,-2.86,-7.17,11.87,6.23
LICMFGOLD,ETF,-0.58,-0.7,-1.07,0.52,-0.99,2.55,12.6,26.81
LICNETFGSC,ETF,-0.53,-0.21,-0.98,-0.81,-1.19,-0.6,2.73,5.27
LICNETFN50,ETF,0.8,2.36,2.15,0.75,-0.19,0.55,6.94,7.4
LICNETFSEN,ETF,1.65,2.48,2.33,1.47,-0.11,0.65,8.99,5.71
LICNFNHGP,Unknown,1.56,1.61,1.86,0.22,-1.18,-2.67,5.96,2.48
LICNMID100,Unknown,0.31,2.36,2.02,0.02,-2.45,-2.65,10.0,1.2
LIKHITHA,Civil Construction,-0.63,0.94,-6.36,-10.04,-10.29,-19.56,-12.04,-26.56
LINCOLN,Pharmaceuticals,0.35,0.7,3.22,1.23,-0.43,-6.99,-2.55,-32.12
LINDEINDIA,Industrial Gases,-0.69,1.97,-1.79,-4.06,-3.55,-13.73,-1.6,-1.67
LIQGRWBEES,ETF,0.04,0.11,0.2,0.29,,,,
LIQUID,LIQUID,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LIQUID1,LIQUID,0.04,0.11,0.21,0.31,0.41,1.0,2.24,3.51
LIQUIDADD,LIQUID,0.04,0.11,0.21,0.31,0.4,0.98,2.19,3.44
LIQUIDBEES,LIQUID,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LIQUIDBETF,LIQUID,0.04,0.11,0.21,0.31,0.4,0.97,2.17,3.43
LIQUIDCASE,LIQUID,0.04,0.11,0.21,0.3,0.4,0.98,2.21,3.46
LIQUIDETF,LIQUID,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0
LIQUIDIETF,LIQUID,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LIQUIDPLUS,LIQUID,0.04,0.11,0.21,0.31,0.41,1.0,2.23,3.5
